Name	投げダメージ	強化タイプ	半減タイプ	威力補正	consumable	immediate	post_hit
でかいきんのたま	130	None	None	1	0	0	0
でんきだま	30	None	None	1	0	0	0
とくせいガード	30	None	None	1	0	0	0
どくどくだま	30	None	None	1	0	0	0
どくバリ	70	どく	None	1.2	0	0	0
とけないこおり	30	こおり	None	1.2	0	0	0
とつげきチョッキ	80	None	None	1	0	0	0
ねばりのかぎづめ	90	None	None	1	0	0	0
ねらいのまと	10	None	None	1	0	0	0
ノーマルジュエル	30	None	None	1	1	0	0
のどスプレー	30	None	None	1	1	0	0
のろいのおふだ	30	ゴースト	None	1.2	0	0	0
パワフルハーブ	10	None	None	1	1	0	0
パンチグローブ	30	None	None	1	0	0	0
ばんのうがさ	60	None	None	1	0	0	0
ひかりごけ	30	None	None	1	1	0	1
ひかりのこな	10	None	None	1	0	0	0
ひかりのねんど	30	None	None	1	0	0	0
ビビリだま	30	None	None	1	1	0	1
ピントレンズ	30	None	None	1	0	0	0
ブーストエナジー	30	None	None	1	1	1	0
ふうせん	10	None	None	1	0	0	0
フォーカスレンズ	10	None	None	1	0	0	0
ぼうごパット	30	None	None	1	0	0	0
ぼうじんゴーグル	80	None	None	1	0	0	0
まがったスプーン	30	エスパー	None	1.2	0	0	0
ミストシード	10	None	None	1	1	1	0
メタルコート	30	はがね	None	1.2	0	0	0
メトロノーム	30	None	None	1	0	0	0
メンタルハーブ	10	None	None	1	1	1	0
もくたん	30	ほのお	None	1.2	0	0	0
ものしりメガネ	10	None	None	1.1	0	0	0
ものまねハーブ	30	None	None	1	1	0	0
やわらかいすな	10	じめん	None	1.2	0	0	0
ゆきだま	30	None	None	1	1	0	1
ようせいのハネ	20	フェアリー	None	1.2	0	0	0
りゅうのキバ	70	ドラゴン	None	1.2	0	0	0
ルームサービス	100	None	None	1	1	1	0
レッドカード	10	None	None	1	1	0	0
くちたけん	0	None	None	1	0	0	0
くちたたて	0	None	None	1	0	0	0
こんごうだま	0	None	None	1.2	0	0	0
しらたま	0	None	None	1.2	0	0	0
だいこんごうだま	0	None	None	1.2	0	0	0
だいしらたま	0	None	None	1.2	0	0	0
だいはっきんだま	0	None	None	1.2	0	0	0
はっきんだま	0	None	None	1.2	0	0	0
オボンのみ	10	None	None	1	1	1	0
ラムのみ	10	None	None	1	1	1	0
クラボのみ	10	None	None	1	1	1	0
カゴのみ	10	None	None	1	1	1	0
モモンのみ	10	None	None	1	1	1	0
チーゴのみ	10	None	None	1	1	1	0
ナナシのみ	10	None	None	1	1	1	0
キーのみ	10	None	None	1	1	1	0
ヒメリのみ	10	None	None	1	1	1	0
オレンのみ	10	None	None	1	1	1	0
フィラのみ	10	None	None	1	1	1	0
ウイのみ	10	None	None	1	1	1	0
マゴのみ	10	None	None	1	1	1	0
バンジのみ	10	None	None	1	1	1	0
イアのみ	10	None	None	1	1	1	0
チイラのみ	10	None	None	1	1	1	0
リュガのみ	10	None	None	1	1	1	0
ヤタピのみ	10	None	None	1	1	1	0
ズアのみ	10	None	None	1	1	1	0
カムラのみ	10	None	None	1	1	1	0
スターのみ	10	None	None	1	1	1	0
サンのみ	10	None	None	1	1	1	0
ホズのみ	10	None	ノーマル	1	1	0	0
リンドのみ	10	None	くさ	1	1	0	0
オッカのみ	10	None	ほのお	1	1	0	0
イトケのみ	10	None	みず	1	1	0	0
ソクノのみ	10	None	でんき	1	1	0	0
カシブのみ	10	None	ゴースト	1	1	0	0
ヨロギのみ	10	None	いわ	1	1	0	0
タンガのみ	10	None	むし	1	1	0	0
ウタンのみ	10	None	エスパー	1	1	0	0
バコウのみ	10	None	ひこう	1	1	0	0
シュカのみ	10	None	じめん	1	1	0	0
ビアーのみ	10	None	どく	1	1	0	0
ヨプのみ	10	None	かくとう	1	1	0	0
ヤチェのみ	10	None	こおり	1	1	0	0
リリバのみ	10	None	はがね	1	1	0	0
ナモのみ	10	None	あく	1	1	0	0
ハバンのみ	10	None	ドラゴン	1	1	0	0
ロゼルのみ	10	None	フェアリー	1	1	0	0
アッキのみ	10	None	None	1	1	0	0
タラプのみ	10	None	None	1	1	0	0
イバンのみ	10	None	None	1	1	0	0
ジャポのみ	10	None	None	1	1	0	1
レンブのみ	10	None	None	1	1	0	1
ズアのみ	10	None	None	1	1	0	0
ナゾのみ	10	None	None	1	1	0	1
ミクルのみ	10	None	None	1	1	0	0
