move	target	prob	A	B	C	D	S	Hit	Eva	PSN	PAR	BRN	SLP	FLZ	confusion	flinch	drain	recoil	mis_recoil	cost
じゃどくのくさり	1	0.5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
10まんボルト	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
かみなり	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
かみなりあらし	1	0.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
かみなりのキバ	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
かみなりパンチ	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
したでなめる	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
スパーク	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ダークサンダー	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
でんきショック	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
でんじほう	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
とびはねる	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
のしかかり	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
はっけい	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
フリーズボルト	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ほうでん	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ほっぺすりすり	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ボルテッカー	1	0.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
らいげき	1	0.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
りゅうのいぶき	1	0.3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
トライアタック	1	0.2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
いてつくしせん	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
こおりのキバ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
こなゆき	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ダークフリーズ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ふぶき	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
フリーズドライ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
れいとうパンチ	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
れいとうビーム	1	0.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
いにしえのうた	1	0.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
フェイタルクロー	1	0.5	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
かえんぐるま	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
かえんだん	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
かえんほうしゃ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
かえんボール	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
コールドフレア	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
シャカシャカほう	1	0.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
スチームバースト	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
せいなるほのお	1	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ダークファイア	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
だいもんじ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ねっさのあらし	1	0.2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ねっさのだいち	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ねっとう	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ねっぷう	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
バーンアクセル	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ひのこ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ひゃっきやこう	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
フレアドライブ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ブレイズキック	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ふんえん	1	0.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ほのおのキバ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ほのおのパンチ	1	0.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
れんごく	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
おしゃべり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
かかとおとし	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
サイケこうせん	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
シグナルビーム	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ねんりき	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ばくれつパンチ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ぼうふう	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ピヨピヨパンチ	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
マジカルアクセル	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
みずのはどう	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ロッククライム	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ワンダースチーム	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
３ぼんのや	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
アイアンヘッド	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
あくのはどう	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
いびき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
いわなだれ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
エアスラッシュ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
おどろかす	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
かみつく	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
かみなりのキバ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
こおりのキバ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
ゴッドバード	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
しねんのずつき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
じんつうりき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
ずつき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
たきのぼり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
たつまき	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
ダブルパンツァー	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
つららおとし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
ドラゴンダイブ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
ニードルアーム	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
ねこだまし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ハートスタンプ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
ハードローラー	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
はやてがえし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ひっさつまえば	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
ひょうざんおろし	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
びりびりちくちく	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
ふみつけ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
ふわふわフォール	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
ホネこんぼう	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
ほのおのキバ	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
まわしげり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0
もえあがるいかり	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0
ばかぢから	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
いじげんラッシュ	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
スケイルノイズ	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ゴールドラッシュ	0	1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
オーバーヒート	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
サイコブースト	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
リーフストーム	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
りゅうせいぐん	0	1	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
フルールカノン	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
アームハンマー	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
アイスハンマー	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ホイールスピン	0	1	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0
アーマーキャノン	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
インファイト	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ぶちかまし	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ガリョウテンセイ	0	1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ｖジェネレート	0	1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ウッドホーン	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
ギガドレイン	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
きゅうけつ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
シャカシャカほう	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
すいとる	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
デスウイング	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0
ドレインキッス	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0
ドレインパンチ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
パラボラチャージ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
むねんのつるぎ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
メガドレイン	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
ゆめくい	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0
アフロブレイク	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
ウェーブタックル	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0
ウッドハンマー	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0
じごくぐるま	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
すてみタックル	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0
とっしん	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
はめつのひかり	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
フレアドライブ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0
ブレイブバード	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0
ボルテッカー	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0
もろはのずつき	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0
ワイルドボルト	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0
かかとおとし	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
サンダーダイブ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
とびげり	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
とびひざげり	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
クロロブラスト	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
てっていこうせん	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
ビックリヘッド	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
じばく	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
だいばくはつ	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ミストバースト	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
